351	2	210	2
377	5	1005	5
425	2	402	2
385	2	4	2
386	2	142	2
387	2	264	2
410	7	1406	7
427	2	402	2
412	3	603	3
200	14	531	5
297	4	760	4
99	2	203	2
409	8	1607	8
422	2	401	2
419	2	402	2
423	2	402	2
413	3	603	3
240	2	205	2
429	2	402	2
341	2	158	2
227	2	42	2
348	2	101	2
243	1	3	1
371	1	68	1
234	1	2	1
361	1	23	1
406	1	4	1
347	2	68	2
216	2	89	2
319	2	83	2
195	19	38	2
97	31	2236	17
204	11	26	2
92	31	290	4
146	25	700	7
369	2	202	2
393	4	340	2
239	3	405	3
90	3	8	2
155	2	7	2
149	2	11	2
156	2	5	2
91	3	18	2
150	2	5	2
194	2	54	2
143	2	6	2
151	2	6	2
95	3	7	2
3	4	17	2
229	2	5	2
242	1	138	1
152	2	125	2
144	4	28	2
153	2	5	2
241	2	155	2
93	4	9	2
154	2	5	2
217	2	18	2
248	7	29	3
417	2	400	2
238	10	678	6
96	36	590	10
338	2	367	2
89	6	122	2
198	2	35	2
340	2	186	2
345	1	42	1
318	2	21	2
202	2	210	2
175	1	2	1
176	1	2	1
177	1	2	1
178	1	2	1
179	1	2	1
180	1	4	1
181	1	2	1
183	1	2	1
185	1	4	1
157	1	2	1
158	1	2	1
159	1	3	1
160	1	3	1
161	1	4	1
162	1	3	1
163	1	3	1
164	1	2	1
165	1	3	1
166	1	2	1
184	1	2	1
186	1	38	1
187	1	2	1
237	1	2	1
188	1	2	1
189	1	2	1
190	1	2	1
191	1	2	1
408	1	184	1
192	1	2	1
167	1	2	1
168	1	2	1
380	3	420	3
169	1	2	1
170	1	2	1
2	8	647	6
171	1	2	1
172	1	2	1
173	1	11	1
174	1	2	1
182	1	3	1
211	2	36	2
366	2	211	2
346	2	20	2
367	2	201	2
148	2	326	2
426	2	402	2
205	2	59	2
206	2	22	2
207	2	203	2
208	2	22	2
218	1	5	1
219	1	24	1
201	2	57	2
147	2	4	2
209	2	22	2
210	2	22	2
220	1	2	1
94	3	6	2
320	2	203	2
252	2	4	2
4	3	6	2
224	2	10	2
274	1	191	1
249	2	14	2
250	2	140	2
251	2	59	2
269	2	203	2
270	2	203	2
1	3	6	2
271	2	203	2
272	2	203	2
197	4	44	2
397	2	201	2
215	2	26	2
235	1	2	1
199	2	4	2
226	2	5	2
236	1	2	1
230	1	2	1
212	2	4	2
225	2	5	2
231	1	2	1
232	1	2	1
233	1	2	1
228	2	203	2
213	2	102	2
214	2	203	2
322	1	2	1
321	2	203	2
439	1	201	1
404	1	201	1
383	2	164	2
323	1	2	1
317	2	395	2
324	1	2	1
291	2	40	2
392	1	200	1
376	1	2	1
98	2	200	2
442	1	199	1
360	1	12	1
440	1	200	1
384	2	201	2
302	3	13	2
370	2	258	2
279	2	14	2
258	2	9	2
259	2	21	2
255	2	28	2
278	2	15	2
260	2	40	2
261	2	16	2
262	2	10	2
263	2	10	2
256	2	9	2
264	2	38	2
257	2	9	2
349	2	203	2
111	1	7	1
418	2	398	2
355	2	212	2
388	2	4	2
389	2	4	2
379	3	603	3
403	1	144	1
311	2	4	2
312	2	11	2
315	1	2	1
336	1	176	1
282	3	11	2
344	1	2	1
407	1	201	1
310	2	21	2
334	2	123	2
268	3	214	2
350	2	114	2
273	2	4	2
100	2	201	2
390	2	203	2
222	5	148	3
145	28	75	3
247	4	404	2
253	2	6	2
293	2	389	2
254	2	9	2
289	2	8	2
245	4	150	2
196	7	252	4
288	2	93	2
337	1	5	1
375	1	8	1
372	1	194	1
373	1	2	1
374	1	2	1
326	1	20	1
303	2	101	2
327	1	155	1
328	1	4	1
101	2	203	2
314	1	5	1
221	5	184	3
309	2	337	2
306	3	432	3
193	18	36	2
307	2	204	2
267	5	472	5
424	2	402	2
416	3	603	3
223	5	23	2
280	2	4	2
244	5	281	3
276	3	190	2
265	2	35	2
284	1	2	1
266	2	9	2
285	1	167	1
246	5	134	2
203	8	26	3
277	3	214	2
432	2	402	2
438	1	201	1
400	2	375	2
401	2	31	2
434	2	402	2
391	2	338	2
378	3	20	3
359	1	12	1
354	2	196	2
330	4	651	4
405	1	182	1
134	1	2	1
441	1	201	1
414	3	603	3
411	4	804	4
420	2	402	2
292	2	120	2
299	2	20	2
335	2	210	2
332	2	203	2
290	3	478	3
436	2	401	2
362	1	6	1
356	2	315	2
329	1	21	1
435	2	402	2
342	1	2	1
286	6	355	3
304	5	510	4
294	3	220	3
437	1	201	1
363	4	427	3
339	2	203	2
343	1	2	1
331	2	203	2
283	2	203	2
382	2	252	2
295	2	10	2
428	2	402	2
296	5	762	5
368	2	13	2
365	3	603	3
352	2	24	2
353	2	178	2
275	3	102	3
430	2	402	2
398	2	396	2
298	3	254	2
16	2	4	2
17	2	6	2
20	2	4	2
21	2	4	2
23	2	6	2
25	2	4	2
26	2	4	2
27	2	4	2
28	2	4	2
33	2	6	2
35	2	32	2
37	2	4	2
40	2	13	2
42	2	15	2
43	2	4	2
45	2	4	2
46	2	147	2
47	2	4	2
48	2	4	2
53	2	4	2
55	2	4	2
57	2	4	2
59	2	9	2
61	2	4	2
63	2	4	2
65	2	16	2
66	2	4	2
67	2	4	2
68	2	4	2
73	2	4	2
75	2	13	2
77	2	4	2
79	2	11	2
81	2	4	2
83	2	4	2
85	2	4	2
86	2	4	2
87	2	26	2
88	2	11	2
9	2	4	2
11	2	4	2
12	2	6	2
13	2	7	2
14	2	5	2
15	2	10	2
18	2	7	2
19	2	6	2
22	2	6	2
24	2	4	2
29	2	4	2
30	2	4	2
31	2	4	2
32	2	6	2
34	2	4	2
36	2	4	2
38	2	11	2
39	2	4	2
41	2	4	2
44	2	7	2
49	2	6	2
50	2	6	2
51	2	4	2
52	2	4	2
54	2	8	2
56	2	4	2
58	2	4	2
60	2	4	2
62	2	11	2
64	2	13	2
69	2	4	2
70	2	4	2
71	2	4	2
72	2	9	2
74	2	4	2
76	2	4	2
78	2	4	2
80	2	4	2
82	2	6	2
84	2	4	2
5	2	4	2
6	2	4	2
7	2	11	2
8	2	5	2
10	2	6	2
313	2	202	2
308	2	219	2
333	2	64	2
305	3	405	3
364	3	586	3
415	3	603	3
402	2	402	2
300	2	64	2
394	3	403	2
381	2	61	2
281	3	10	2
443	2	402	2
301	1	10	1
316	1	2	1
399	2	398	2
431	2	402	2
357	2	195	2
358	1	2	1
287	3	22	3
325	1	108	1
395	2	202	2
396	2	402	2
421	2	402	2
433	2	399	2
115	1	2	1
117	1	2	1
123	1	2	1
124	1	2	1
125	1	2	1
126	1	2	1
127	1	2	1
128	1	2	1
129	1	2	1
130	1	2	1
131	1	2	1
132	1	2	1
103	1	2	1
104	1	2	1
105	1	129	1
106	1	2	1
107	1	2	1
108	1	2	1
109	1	2	1
110	1	3	1
112	1	2	1
113	1	2	1
133	1	2	1
135	1	2	1
136	1	2	1
137	1	2	1
138	1	2	1
139	1	7	1
140	1	2	1
141	1	2	1
142	1	2	1
102	1	2	1
114	1	2	1
116	1	2	1
118	1	33	1
119	1	20	1
120	1	2	1
121	1	2	1
122	1	2	1
