383	1	2	1
144	8	248	4
277	1	2	1
411	1	2	1
265	1	192	1
444	1	102	1
358	1	108	1
213	3	43	2
355	2	145	2
312	2	10	2
192	2	7	2
234	2	25	2
341	2	42	2
173	1	2	1
143	2	6	2
176	1	2	1
177	1	2	1
180	1	2	1
182	1	2	1
148	1	3	1
150	1	3	1
152	1	2	1
154	1	35	1
155	1	2	1
157	1	3	1
158	1	3	1
159	1	4	1
162	1	2	1
164	1	2	1
166	1	2	1
168	1	3	1
169	1	2	1
170	1	4	1
171	1	2	1
172	1	3	1
174	1	106	1
175	1	3	1
178	1	2	1
179	1	2	1
181	1	2	1
183	1	2	1
149	1	2	1
151	1	3	1
153	1	2	1
147	2	203	2
156	1	2	1
1	10	415	6
160	1	2	1
161	1	2	1
163	1	7	1
165	1	2	1
167	1	4	1
224	2	36	2
76	2	12	2
388	2	20	2
410	2	6	2
399	2	199	2
315	2	71	2
329	2	212	2
273	2	5	2
191	2	4	2
327	2	204	2
4	2	5	2
313	2	116	2
186	2	58	2
328	2	6	2
305	2	168	2
314	2	204	2
333	2	201	2
430	1	200	1
352	2	17	2
270	2	5	2
371	1	3	1
5	4	91	3
372	1	3	1
356	2	18	2
340	3	209	2
395	4	605	3
401	2	190	2
400	2	214	2
90	2	4	2
92	2	4	2
142	2	203	2
95	2	13	2
96	2	4	2
97	2	4	2
98	2	8	2
99	2	4	2
100	2	4	2
101	2	10	2
126	2	4	2
128	2	237	2
130	2	4	2
132	2	4	2
134	2	7	2
136	2	4	2
138	2	4	2
139	2	4	2
140	2	14	2
141	2	4	2
81	2	16	2
83	2	4	2
85	2	4	2
86	2	10	2
87	2	4	2
88	2	7	2
89	2	4	2
91	2	4	2
93	2	4	2
94	2	4	2
102	2	10	2
103	2	4	2
104	2	4	2
105	2	4	2
106	2	4	2
107	2	5	2
108	2	10	2
109	2	4	2
110	2	5	2
111	2	8	2
112	2	4	2
113	2	5	2
114	2	7	2
115	2	4	2
116	2	4	2
117	2	4	2
118	2	4	2
119	2	4	2
120	2	5	2
121	2	4	2
122	2	4	2
123	2	4	2
124	2	4	2
125	2	4	2
127	2	4	2
129	2	5	2
131	2	4	2
133	2	4	2
135	2	4	2
137	2	4	2
77	2	45	2
78	2	4	2
79	2	4	2
80	2	5	2
82	2	10	2
84	2	4	2
233	3	205	2
258	2	5	2
278	1	2	1
274	1	2	1
235	2	6	2
223	3	251	3
257	2	4	2
275	1	2	1
184	2	11	2
276	1	3	1
236	2	5	2
269	2	199	2
145	4	207	2
261	1	2	1
359	1	7	1
440	1	201	1
442	1	201	1
419	2	201	2
225	2	32	2
219	2	5	2
260	2	203	2
